,date,random_forest_prices,MAE_random_forest,MAE_prophet,MAE_arima,prophet_prices,arima_prices,random_forest_price_change,arima_price_change,prophet_price_change
0,2021-08-24,0.5829144365284974,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.5829144365284974,0.5829144365284974,Decline,Decline,Decline
1,2021-08-31,0.5290109880341881,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.5290109880341881,0.5290109880341881,Decline,Decline,Decline
2,2021-10-19,0.517299193548387,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.517299193548387,0.517299193548387,Decline,Decline,Decline
3,2021-10-26,0.47123675213675215,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.47123675213675215,0.47123675213675215,Decline,Decline,Decline
4,2021-11-02,0.59675029274031,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.59675029274031,0.59675029274031,Growth,Growth,Growth
5,2021-11-09,0.6449117836842413,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6449117836842413,0.6449117836842413,Growth,Growth,Growth
6,2021-11-16,0.6844191053184165,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6844191053184165,0.6844191053184165,Growth,Growth,Growth
7,2021-11-23,0.8097310590163934,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.8097310590163934,0.8097310590163934,Growth,Growth,Growth
8,2021-11-30,0.6655328205128205,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6655328205128205,0.6655328205128205,Decline,Decline,Decline
9,2021-12-07,0.5317861595744681,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.5317861595744681,0.5317861595744681,Decline,Decline,Decline
10,2021-12-14,0.6240161764705883,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6240161764705883,0.6240161764705883,Growth,Growth,Growth
11,2021-12-21,0.7155449184814445,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.7155449184814445,0.7155449184814445,Growth,Growth,Growth
12,2021-12-28,0.7128161688311688,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.7128161688311688,0.7128161688311688,Decline,Decline,Decline
13,2022-01-04,0.6747395428571429,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6747395428571429,0.6747395428571429,Decline,Decline,Decline
14,2022-01-11,0.7705921276595745,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.7705921276595745,0.7705921276595745,Growth,Growth,Growth
15,2022-01-18,0.6713540442630906,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6713540442630906,0.6713540442630906,Decline,Decline,Decline
16,2022-01-25,0.5204236691049383,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.5204236691049383,0.5204236691049383,Decline,Decline,Decline
17,2022-02-01,0.6063220485342019,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6063220485342019,0.6063220485342019,Growth,Growth,Growth
18,2022-02-08,0.6910821782178218,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6910821782178218,0.6910821782178218,Growth,Growth,Growth
19,2022-02-15,0.870716,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.870716,0.870716,Growth,Growth,Growth
20,2022-02-22,0.6806691358024691,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6806691358024691,0.6806691358024691,Decline,Decline,Decline
21,2022-03-01,0.5804070849490154,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.5804070849490154,0.5804070849490154,Decline,Decline,Decline
22,2022-03-08,0.659229292648415,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.659229292648415,0.659229292648415,Growth,Growth,Growth
23,2022-03-15,0.6635699313989761,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6635699313989761,0.6635699313989761,Growth,Growth,Growth
24,2022-03-22,0.5859377703703703,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.5859377703703703,0.5859377703703703,Decline,Decline,Decline
25,2022-03-29,0.6508,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6508,0.6508,Growth,Growth,Growth
26,2022-04-05,0.5552538461538462,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.5552538461538462,0.5552538461538462,Decline,Decline,Decline
27,2022-04-12,0.5656673469387755,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.5656673469387755,0.5656673469387755,Growth,Growth,Growth
28,2022-04-19,0.6829528014209292,0.0640766121556103,0.05219186013026084,0.07405929422584934,0.6205250609574344,0.5951208135695328,Growth,Growth,Growth
